question_number,correctness
2,1
3,0
4,0
6,0
7,0
8,1
9,0
11,1
12,1
14,0
16,0
17,1
18,0
19,1
20,0
56,0
57,0
58,0
59,0
61,0
62,1
63,0
64,1
65,0
66,1
67,0
68,0
69,0
70,0
71,1
72,0
74,0
75,0
77,1
79,1
80,0
82,1
83,0
84,0
85,1
86,0
87,0
88,1
89,0
90,1
91,0
92,0
93,1
94,0
95,1
96,1
97,0
98,1
99,0
100,0
101,1
102,0
103,0
104,0
105,1
106,0
108,1
109,1
111,0
113,1
115,1
116,0
117,0
118,1
119,0
120,0
123,0
124,0
125,0
126,1
127,1
128,0
129,0
130,1
131,0
132,1
133,1
135,0
137,1
138,0
139,1
140,0
141,1
142,1
143,0
145,0
160,0
161,1
162,0
163,0
164,0
165,0
166,0
167,0
168,1
170,1
171,0
172,0
222,1
223,0
224,1
226,1
227,1
228,0
229,0
230,1
232,1
233,1
234,1
235,0
237,0
238,0
239,0
240,0
242,1
244,0
245,0
246,0
247,0
248,1
249,0
250,1
251,0
252,1
253,1
255,0
256,0
257,0
259,0
260,0
261,1
262,1
264,0
265,1
266,0
267,0
268,0
269,1
270,0
271,0
272,0
273,1
274,0
276,1
277,1
278,0
279,0
280,1
281,1
282,1
283,1
284,1
285,0
286,0
287,0
290,0
291,0
292,1
293,0
294,0
295,1
296,0
297,1
299,0
300,0
301,0
304,0
305,0
306,0
307,0
308,0
309,1
310,0
311,0
312,0
388,0
389,1
390,1
391,0
392,0
393,0
394,1
395,0
396,0
397,1
398,0
399,1
400,0
401,0
404,1
405,1
406,0
407,0
408,0
409,1
410,0
411,0
412,0
413,0
414,1
415,0
417,0
418,0
419,0
420,0
421,0
422,0
424,0
425,1
426,1
427,1
428,1
429,0
430,0
431,0
432,0
433,0
434,0
435,1
436,1
437,0
438,0
439,0
440,0
441,1
442,0
443,0
444,0
445,0
446,0
447,0
448,0
450,0
451,0
452,0
453,0
454,1
455,1
456,1
457,0
458,1
459,0
460,0
461,0
462,0
463,0
464,0
465,1
468,0
470,1
471,1
472,0
473,0
474,1
475,0
476,0
477,1
478,0
479,0
554,1
555,0
556,0
557,1
558,0
559,0
560,0
562,0
563,0
564,0
565,0
566,1
567,1
568,1
569,1
572,0
573,0
574,0
576,0
577,0
578,0
579,0
580,0
581,0
582,1
583,0
584,0
585,0
586,0
587,1
588,1
589,0
590,0
591,1
592,0
593,0
594,0
595,0
596,0
597,0
598,1
599,1
600,1
602,1
603,0
604,1
605,0
606,1
607,1
608,0
610,0
611,0
612,0
614,0
615,1
616,1
617,0
618,1
619,0
620,0
622,0
623,1
624,1
625,1
626,0
627,0
628,1
629,1
630,0
631,0
632,1
633,0
635,1
637,0
638,0
639,0
640,0
641,0
643,0
644,0
720,0
721,0
722,0
723,1
724,0
725,0
726,0
728,0
730,0
731,0
732,0
733,1
734,0
735,0
736,0
737,0
738,0
739,0
740,0
741,0
742,0
743,0
744,1
745,0
746,0
747,0
748,0
749,0
750,0
751,1
752,0
753,0
754,0
755,0
756,0
757,1
758,0
759,0
760,0
762,0
763,0
764,1
765,0
766,1
767,1
769,0
770,0
771,0
772,0
773,0
775,1
776,0
777,0
778,0
779,0
780,0
781,1
782,0
783,0
784,0
785,0
786,0
787,0
788,0
790,1
791,0
792,1
793,0
794,0
796,1
797,1
798,1
799,1
800,0
801,0
802,0
803,0
804,1
805,0
806,1
807,1
808,0
809,0
